"","x"
"1981",5
"1982",9
"1983",5
"1984",8
"1985",9
"1986",4
"1987",3
"1988",3
"1989",5
"1990",4
"1991",3
"1992",5
"1993",4
"1994",6
"1995",10
"1996",5
"1997",8
"1998",7
"1999",4
"2000",6
"2001",5
"2002",7
"2003",7
"2004",6
"2005",4
"2006",8
"2007",7
"2008",6
"2009",5
"2010",5
"2011",8
"2012",6
"2013",6
"2014",8
"2015",8
"2016",4
"2017",6
"2018",9
"2019",7
"2020",6
"2021",5
"2022",8
"2023",6
"2024",6
"2025",4
"2026",8
"2027",4
"2028",14
"2029",9
"2030",6
"2031",7
"2032",5
"2033",5
"2034",7
"2035",8
"2036",6
"2037",8
"2038",5
"2039",6
"2040",6
"2041",4
"2042",4
"2043",6
"2044",7
"2045",4
"2046",6
"2047",8
"2048",4
"2049",6
"2050",8
"2051",9
"2052",7
"2053",7
"2054",4
"2055",6
"2056",4
"2057",8
"2058",7
"2059",8
"2060",6
"2061",6
"2062",7
"2063",6
"2064",6
"2065",7
"2066",6
"2067",8
"2068",11
"2069",4
"2070",7
"2071",5
"2072",7
"2073",8
"2074",4
"2075",5
"2076",7
"2077",6
"2078",7
"2079",7
"2080",5
"2081",4
"2082",8
"2083",7
"2084",9
"2085",6
"2086",6
"2087",5
"2088",5
"2089",6
"2090",6
"2091",4
"2092",6
"2093",9
"2094",7
"2095",6
"2096",8
"2097",4
"2098",4
"2099",7
"2100",4
"2101",8
"2102",3
"2103",10
"2104",9
"2105",5
"2106",11
"2107",6
"2108",5
"2109",7
"2110",3
"2111",6
"2112",6
"2113",5
"2114",6
"2115",7
"2116",9
"2117",4
"2118",11
"2119",5
"2120",4
"2121",5
"2122",7
"2123",9
"2124",5
"2125",5
"2126",5
"2127",7
"2128",8
"2129",9
"2130",10
"2131",6
"2132",7
"2133",7
"2134",5
"2135",5
"2136",6
"2137",5
"2138",4
"2139",6
"2140",5
"2141",7
"2142",10
"2143",7
"2144",7
"2145",5
"2146",8
"2147",7
"2148",6
"2149",6
"2150",5
"2151",4
"2152",5
"2153",8
"2154",6
"2155",5
"2156",5
"2157",8
"2158",8
"2159",8
"2160",6
"2161",3
"2162",7
"2163",7
"2164",10
"2165",5
"2166",4
"2167",5
"2168",8
"2169",7
"2170",6
"2171",4
"2172",4
"2173",7
"2174",9
"2175",6
"2176",8
"2177",6
"2178",4
"2179",5
"2180",7
"2181",3
"2182",8
"2183",4
"2184",6
"2185",13
"2186",6
"2187",7
"2188",6
"2189",7
"2190",8
"2191",4
"2192",8
"2193",4
"2194",4
"2195",3
"2196",4
"2197",6
"2198",6
"2199",5
"2200",8
"2201",5
"2202",5
"2203",7
"2204",5
"2205",7
"2206",5
"2207",6
"2208",6
"2209",5
"2210",4
"2211",9
"2212",4
"2213",5
"2214",9
"2215",5
"2216",7
"2217",10
"2218",9
"2219",8
"2220",5
"2221",5
"2222",6
"2223",4
"2224",5
"2225",4
"2226",5
"2227",9
"2228",4
"2229",5
"2230",6
"2231",8
"2232",7
"2233",6
"2234",4
"2235",5
"2236",6
"2237",5
"2238",11
"2239",6
"2240",6
"2241",9
"2242",7
"2243",7
"2244",4
"2245",5
"2246",4
"2247",9
"2248",6
"2249",9
"2250",10
"2251",6
"2252",6
"2253",4
"2254",6
"2255",7
"2256",6
"2257",9
"2258",8
"2259",9
"2260",4
"2261",4
"2262",6
"2263",4
"2264",5
"2265",5
"2266",4
"2267",7
"2268",4
"2269",8
"2270",6
"2271",5
"2272",7
"2273",5
"2274",8
"2275",7
"2276",7
"2277",6
"2278",8
"2279",9
"2280",7
"2281",8
"2282",7
"2283",6
"2284",5
"2285",7
"2286",4
"2287",5
"2288",6
"2289",6
"2290",5
"2291",5
"2292",7
"2293",4
"2294",6
"2295",7
"2296",5
"2297",7
"2298",10
"2299",5
"2300",4
"2301",6
"2302",5
"2303",4
"2304",3
"2305",4
"2306",6
"2307",3
"2308",4
"2309",7
"2310",5
"2311",4
"2312",5
"2313",4
"2314",7
"2315",4
"2316",6
"2317",7
"2318",10
"2319",5
"2320",10
"2321",9
"2322",7
"2323",5
"2324",10
"2325",8
"2326",6
"2327",6
"2328",5
"2329",6
"2330",10
"2331",8
"2332",4
"2333",4
"2334",4
"2335",4
"2336",5
"2337",6
"2338",7
"2339",5
"2340",3
"2341",3
"2342",6
"2343",5
"2344",7
"2345",6
"2346",5
"2347",3
"2348",6
"2349",15
"2350",8
"2351",5
"2352",5
"2353",4
"2354",4
"2355",5
"2356",12
"2357",4
"2358",3
"2359",7
"2360",4
"2361",9
"2362",8
"2363",8
"2364",8
"2365",6
"2366",4
"2367",6
"2368",7
"2369",6
"2370",4
"2371",4
"2372",5
"2373",4
"2374",6
"2375",5
"2376",5
"2377",5
"2378",8
"2379",5
"2380",7
"2381",8
"2382",6
"2383",8
"2384",8
"2385",6
"2386",4
"2387",6
"2388",6
"2389",8
"2390",9
"2391",3
"2392",4
"2393",5
"2394",7
"2395",6
"2396",9
"2397",5
"2398",6
"2399",5
"2400",7
"2401",5
"2402",9
"2403",5
"2404",5
"2405",6
"2406",4
"2407",4
"2408",8
"2409",5
"2410",10
"2411",5
"2412",6
"2413",12
"2414",9
"2415",9
"2416",7
"2417",8
"2418",7
"2419",3
"2420",9
"2421",5
"2422",8
"2423",10
"2424",7
"2425",5
"2426",8
"2427",7
"2428",4
"2429",6
"2430",5
"2431",6
"2432",6
"2433",5
"2434",6
"2435",6
"2436",5
"2437",5
"2438",4
"2439",7
"2440",4
"2441",5
"2442",4
"2443",4
"2444",8
"2445",8
"2446",7
"2447",3
"2448",10
"2449",10
"2450",6
"2451",6
"2452",8
"2453",7
"2454",6
"2455",5
"2456",6
"2457",11
"2458",9
"2459",6
"2460",6
"2461",11
"2462",8
"2463",5
"2464",5
"2465",8
"2466",5
"2467",7
"2468",7
"2469",6
"2470",9
"2471",5
"2472",5
"2473",4
"2474",7
"2475",9
"2476",7
"2477",3
"2478",6
"2479",6
"2480",11
"2481",6
"2482",6
"2483",5
"2484",4
"2485",8
"2486",4
"2487",8
"2488",9
"2489",7
"2490",8
"2491",6
"2492",5
"2493",5
"2494",6
"2495",6
